News,Fake
"['say', 'anni', 'list', 'polit', 'group', 'support', 'third-trimest', 'abort', 'demand']",0
"['declin', 'coal', 'start', 'start', 'natur', 'ga', 'took', 'start', 'begin', 'presid', 'georg', 'w', 'bush', 'administr']",1
"['hillari', 'clinton', 'agre', 'john', 'mccain', 'vote', 'give', 'georg', 'bush', 'benefit', 'doubt', 'iran']",1
"['health', 'care', 'reform', 'legisl', 'like', 'mandat', 'free', 'sex', 'chang', 'surgeri']",0
"['econom', 'turnaround', 'start', 'end', 'term']",1
"['chicago', 'bear', 'start', 'quarterback', 'last', '10', 'year', 'total', 'number', 'tenur', 'uw', 'faculti', 'fire', 'last', 'two', 'decad']",1
"['jim', 'dunnam', 'live', 'district', 'repres', 'year']",0
"[""i'm"", 'person', 'stage', 'work', 'activ', 'last', 'year', 'pass', 'along', 'russ', 'feingold', 'toughest', 'ethic', 'reform', 'sinc', 'waterg']",1
"['howev', 'took', '5', 'million', 'oregon', 'lotteri', 'fund', 'port', 'newport', 'eventu', 'land', 'new', 'noaa', 'marin', 'oper', 'center-pacif']",1
"['say', 'gop', 'primari', 'oppon', 'glenn', 'grothman', 'joe', 'leibham', 'cast', 'compromis', 'vote', 'cost', 'million', 'higher', 'electr', 'cost']",1
"['first', 'time', 'histori', 'share', 'nation', 'popular', 'vote', 'margin', 'smaller', 'latino', 'vote', 'margin']",1
"['sinc', '2000', 'nearli', '12', 'million', 'american', 'slip', 'middl', 'class', 'poverti']",1
"['mitt', 'romney', 'governor', 'massachusett', 'didnt', 'slow', 'rate', 'growth', 'govern', 'actual', 'cut']",0
"['economi', 'bled', 'billion', 'due', 'govern', 'shutdown']",1
"['afford', 'care', 'act', 'alreadi', 'sens', 'waiv', 'otherwis', 'suspend']",0
"['last', 'elect', 'novemb', '...', '63', 'percent', 'american', 'peopl', 'chose', 'vote', '...', '80', 'percent', 'young', 'peopl', '75', 'percent', 'low-incom', 'worker', 'chose', 'vote']",1
"['mccain', 'oppos', 'requir', 'govern', 'buy', 'american-mad', 'motorcycl', 'said', 'buy-american', 'provis', 'quot', 'disgrac']",1
"['u', 'rep', 'ron', 'kind', 'd-wi', 'fellow', 'democrat', 'went', 'spend', 'spree', 'credit', 'card', 'max']",0
"['water', 'rate', 'manila', 'philippin', 'rais', '845', 'percent', 'subsidiari', 'world', 'bank', 'becam', 'partial', 'owner']",1
"['almost', '100,000', 'peopl', 'left', 'puerto', 'rico', 'last', 'year']",1
"['women', 'men', 'make', 'less', 'adjust', 'inflat', 'john', 'kitzhab', 'first', 'elect', 'governor']",0
"['unit', 'state', 'highest', 'corpor', 'tax', 'rate', 'free', 'world']",1
"['best', 'year', 'auto', 'industri', 'america', 'histori']",1
"['say', 'scott', 'walker', 'favor', 'cut', '350,000', 'famili', 'children', 'health', 'care']",1
"['say', 'mitt', 'romney', 'want', 'get', 'rid', 'plan', 'parenthood']",0
"['dont', 'know', 'jonathan', 'gruber']",0
"['hate', 'crime', 'american', 'muslim', 'mosqu', 'tripl', 'pari', 'san', 'bernardino']",1
"['rick', 'perri', 'never', 'lost', 'elect', 'remain', 'person', 'texa', 'governorship', 'three', 'time', 'landslid', 'elect']",1
"['isi', 'support', 'tweet', '10:34', 'shoot', 'began', '10:45', 'chattanooga', 'tenn']",0
"['youth', 'unemploy', 'minor', 'commun', '40', '45', 'percent']",1
"['say', 'paul', 'ryan', 'still', 'endors', 'trump']",1
"['look', 'state', 'right', 'work', 'constantli', 'budget', 'deficit', 'good', 'busi', 'climat']",0
"['obama', 'administr', 'go', 'come', 'next', 'sever', 'month', 'your', 'even', 'go', 'abl', 'burn', 'coal', 'limitedli', 'exist', 'plant']",0
"['cut', 'busi', 'tax', 'today', '70', 'percent', 'busi', 'dont', 'pay', 'busi', 'tax']",1
"['say', 'mark', 'pryor', 'vote', 'obama', '93', 'percent', 'time']",1
"['feder', 'govern', 'think', 'author', 'regul', 'toilet', 'seat']",1
"['austin', 'citi', 'basic', 'doubl', 'size', 'everi', '25', 'year', 'sinc', 'found']",1
"['nuclear', 'test', 'conduct', 'nation', 'time', ""earth'"", '2,054', 'th', 'nuclear', 'test', 'five', 'perman', 'member', 'u', 'n', 'secur', 'council', 'conduct', '99.99', 'percent', 'total', 'nuclear', 'test']",1
"['case', 'catastroph', 'event', 'atlanta-area', 'offic', 'center', 'diseas', 'control', 'prevent', 'self-destruct']",0
"['presid', 'georg', 'w', 'bush', 'ad', '9', 'trillion', 'debt', 'presid', 'obama', 'weve', 'ad', '5', 'trillion', 'debt']",1
